day,cum_case_count
0,0
1,0
2,1
3,1
4,2
5,3
6,4
7,5
8,6
9,6
10,7
11,7
12,8
13,8
14,8
15,9
16,9
17,11
18,12
19,14
20,14
21,18
22,18
23,18
24,18
25,18
26,19
27,19
28,19
29,20
30,20
31,20
32,20
33,21
34,21
35,22
36,22
37,22
38,22
39,24
40,25
41,27
42,29
43,29
44,29
45,29
46,29
47,31
48,33
49,33
50,34
51,35
52,36
53,36
54,36
55,36
56,36
57,37
58,39
59,39
60,39
61,39
62,39
63,40
64,42
65,42
66,42
67,43
68,43
69,43
70,43
71,46
72,47
73,48
74,48
75,48
76,48
77,48
78,48
79,48
80,48
81,49
82,49
83,49
84,49
85,49
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,51
110,51
111,51
112,51
113,51
114,51
115,51
116,51
117,51
118,51
119,51
120,51
121,51
122,51
123,51
124,51
