day,cum_case_count
0,3
1,6
2,6
3,8
4,9
5,10
6,10
7,14
8,17
9,19
10,21
11,23
12,24
13,32
14,32
15,36
16,43
17,47
18,50
19,52
20,54
21,57
22,58
23,58
24,58
25,59
26,59
27,59
28,59
29,61
30,62
31,63
32,63
33,65
34,66
35,67
36,67
37,67
38,68
39,68
40,71
41,76
42,81
43,81
44,86
45,88
46,93
47,95
48,96
49,102
50,105
51,107
52,110
53,117
54,121
55,128
56,138
57,141
58,143
59,146
60,150
61,155
62,159
63,166
64,171
65,172
66,173
67,179
68,181
69,183
70,183
71,183
72,184
73,184
74,184
75,186
76,187
77,187
78,188
79,188
80,189
81,189
82,190
83,192
84,193
85,194
86,194
87,194
88,194
89,194
90,194
91,195
92,196
93,196
94,196
95,196
96,196
97,196
98,196
99,196
100,196
101,196
102,197
103,198
104,198
105,198
106,199
107,199
108,199
109,199
110,199
111,199
112,199
113,200
114,201
115,201
116,201
117,201
118,201
119,201
120,201
121,201
122,201
123,201
124,201
