day,cum_case_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,8
13,9
14,9
15,14
16,20
17,30
18,40
19,50
20,54
21,59
22,62
23,64
24,76
25,80
26,83
27,84
28,84
29,84
30,84
31,85
32,85
33,85
34,85
35,85
36,86
37,86
38,87
39,87
40,87
41,87
42,87
43,88
44,88
45,88
46,88
47,89
48,89
49,89
50,89
51,89
52,90
53,90
54,90
55,90
56,90
57,90
58,90
59,90
60,90
61,90
62,90
63,90
64,90
65,90
66,90
67,90
68,91
69,91
70,91
71,91
72,91
73,91
74,91
75,91
76,91
77,91
78,91
79,92
80,92
81,92
82,92
83,92
84,93
85,93
86,93
87,97
88,107
89,110
90,114
91,115
92,115
93,116
94,116
95,117
96,119
97,120
98,120
99,120
100,120
